Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WFH checkout,Chrome 122.0.0.0,,,13-03-2024 18:18:11,13-03-2024 18:20:35,2m - 24.938s,PASSED
,,,,,,,
Test Cases/WFH Checkout,Chrome 122.0.0.0,,,13-03-2024 18:18:11,13-03-2024 18:20:35,2m - 24.796s,PASSED
"Data = findTestData(""WFH Checkout"")",Chrome 122.0.0.0,,,13-03-2024 18:18:11,13-03-2024 18:18:12,0.395s,PASSED
dateFormat = new java.text.SimpleDateFormat(MM/dd/yyyy),Chrome 122.0.0.0,,,13-03-2024 18:18:12,13-03-2024 18:18:12,0.022s,PASSED
currentDate = getInstance().getTime(),Chrome 122.0.0.0,,,13-03-2024 18:18:12,13-03-2024 18:18:12,0.012s,PASSED
currentDateStr = dateFormat.format(currentDate),Chrome 122.0.0.0,,,13-03-2024 18:18:12,13-03-2024 18:18:12,0.004s,PASSED
"for ([i = 1, i <= Data.getRowNumbers(), (i++)])",Chrome 122.0.0.0,,,13-03-2024 18:18:12,13-03-2024 18:20:35,2m - 23.918s,PASSED
