Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WFH checkout,Chrome 122.0.0.0,,,18-03-2024 18:04:52,18-03-2024 18:06:24,1m - 32.276s,PASSED
,,,,,,,
Test Cases/WFH Checkout,Chrome 122.0.0.0,,,18-03-2024 18:04:52,18-03-2024 18:06:24,1m - 32.128s,PASSED
"Data = findTestData(""WFH Checkout"")",Chrome 122.0.0.0,,,18-03-2024 18:04:53,18-03-2024 18:04:53,0.439s,PASSED
dateFormat = new java.text.SimpleDateFormat(MM/dd/yyyy),Chrome 122.0.0.0,,,18-03-2024 18:04:53,18-03-2024 18:04:53,0.015s,PASSED
currentDate = getInstance().getTime(),Chrome 122.0.0.0,,,18-03-2024 18:04:53,18-03-2024 18:04:53,0.011s,PASSED
currentDateStr = dateFormat.format(currentDate),Chrome 122.0.0.0,,,18-03-2024 18:04:53,18-03-2024 18:04:53,0.006s,PASSED
"for ([i = 1, i <= Data.getRowNumbers(), (i++)])",Chrome 122.0.0.0,,,18-03-2024 18:04:53,18-03-2024 18:06:24,1m - 31.226s,PASSED
