Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WFH checkout,Chrome 122.0.0.0,,,14-03-2024 18:10:11,14-03-2024 18:12:19,2m - 7.429s,PASSED
,,,,,,,
Test Cases/WFH Checkout,Chrome 122.0.0.0,,,14-03-2024 18:10:12,14-03-2024 18:12:19,2m - 7.265s,PASSED
"Data = findTestData(""WFH Checkout"")",Chrome 122.0.0.0,,,14-03-2024 18:10:12,14-03-2024 18:10:12,0.396s,PASSED
dateFormat = new java.text.SimpleDateFormat(MM/dd/yyyy),Chrome 122.0.0.0,,,14-03-2024 18:10:12,14-03-2024 18:10:12,0.014s,PASSED
currentDate = getInstance().getTime(),Chrome 122.0.0.0,,,14-03-2024 18:10:12,14-03-2024 18:10:12,0.015s,PASSED
currentDateStr = dateFormat.format(currentDate),Chrome 122.0.0.0,,,14-03-2024 18:10:12,14-03-2024 18:10:12,0.004s,PASSED
"for ([i = 1, i <= Data.getRowNumbers(), (i++)])",Chrome 122.0.0.0,,,14-03-2024 18:10:12,14-03-2024 18:12:19,2m - 6.435s,PASSED
