Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OD checkout,Chrome 122.0.0.0,,,18-03-2024 18:06:38,18-03-2024 18:08:08,1m - 30.823s,PASSED
,,,,,,,
Test Cases/OD Checkout,Chrome 122.0.0.0,,,18-03-2024 18:06:38,18-03-2024 18:08:08,1m - 30.623s,PASSED
"Data = findTestData(""OD Checkout"")",Chrome 122.0.0.0,,,18-03-2024 18:06:38,18-03-2024 18:06:39,0.509s,PASSED
dateFormat = new java.text.SimpleDateFormat(MM/dd/yyyy),Chrome 122.0.0.0,,,18-03-2024 18:06:39,18-03-2024 18:06:39,0.014s,PASSED
currentDate = getInstance().getTime(),Chrome 122.0.0.0,,,18-03-2024 18:06:39,18-03-2024 18:06:39,0.015s,PASSED
currentDateStr = dateFormat.format(currentDate),Chrome 122.0.0.0,,,18-03-2024 18:06:39,18-03-2024 18:06:39,0.007s,PASSED
"for ([i = 1, i <= Data.getRowNumbers(), (i++)])",Chrome 122.0.0.0,,,18-03-2024 18:06:39,18-03-2024 18:08:08,1m - 29.606s,PASSED
