Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login and Checkin,Chrome 122.0.0.0,,,18-03-2024 10:25:08,18-03-2024 10:30:20,5m - 11.927s,PASSED
,,,,,,,
Test Cases/Login and do checkin,Chrome 122.0.0.0,,,18-03-2024 10:25:09,18-03-2024 10:30:20,5m - 11.769s,PASSED
"Data = findTestData(""Login and Checkin"")",Chrome 122.0.0.0,,,18-03-2024 10:25:09,18-03-2024 10:25:09,0.410s,PASSED
dateFormat = new java.text.SimpleDateFormat(MM/dd/yyyy),Chrome 122.0.0.0,,,18-03-2024 10:25:09,18-03-2024 10:25:09,0.019s,PASSED
currentDate = getInstance().getTime(),Chrome 122.0.0.0,,,18-03-2024 10:25:09,18-03-2024 10:25:10,0.018s,PASSED
currentDateStr = dateFormat.format(currentDate),Chrome 122.0.0.0,,,18-03-2024 10:25:10,18-03-2024 10:25:10,0.004s,PASSED
"for ([i = 1, i <= Data.getRowNumbers(), (i++)])",Chrome 122.0.0.0,,,18-03-2024 10:25:10,18-03-2024 10:30:20,5m - 10.869s,PASSED
