Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout and do logout,Chrome 121.0.0.0,,,15-02-2024 18:04:33,15-02-2024 18:11:15,6m - 42.236s,PASSED
,,,,,,,
Test Cases/Checkout and do Logout,Chrome 121.0.0.0,,,15-02-2024 18:04:33,15-02-2024 18:11:15,6m - 42.088s,PASSED
"Data = findTestData(""Checkout and do logout"")",Chrome 121.0.0.0,,,15-02-2024 18:04:33,15-02-2024 18:04:34,0.421s,PASSED
dateFormat = new java.text.SimpleDateFormat(MM/dd/yyyy),Chrome 121.0.0.0,,,15-02-2024 18:04:34,15-02-2024 18:04:34,0.016s,PASSED
currentDate = getInstance().getTime(),Chrome 121.0.0.0,,,15-02-2024 18:04:34,15-02-2024 18:04:34,0.000s,PASSED
currentDateStr = dateFormat.format(currentDate),Chrome 121.0.0.0,,,15-02-2024 18:04:34,15-02-2024 18:04:34,0.002s,PASSED
"for ([i = 1, i <= Data.getRowNumbers(), (i++)])",Chrome 121.0.0.0,,,15-02-2024 18:04:34,15-02-2024 18:11:15,6m - 41.228s,PASSED
