Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Apply WFH and Checkin,Chrome 122.0.0.0,,,18-03-2024 10:12:02,18-03-2024 10:14:56,2m - 53.753s,PASSED
,,,,,,,
Test Cases/Apply WFH and Checkin,Chrome 122.0.0.0,,,18-03-2024 10:12:03,18-03-2024 10:14:56,2m - 53.599s,PASSED
"Data = findTestData(""Apply WFH and Checkin"")",Chrome 122.0.0.0,,,18-03-2024 10:12:03,18-03-2024 10:12:03,0.466s,PASSED
dateFormat = new java.text.SimpleDateFormat(MM/dd/yyyy),Chrome 122.0.0.0,,,18-03-2024 10:12:03,18-03-2024 10:12:03,0.013s,PASSED
currentDate = getInstance().getTime(),Chrome 122.0.0.0,,,18-03-2024 10:12:03,18-03-2024 10:12:03,0.017s,PASSED
currentDateStr = dateFormat.format(currentDate),Chrome 122.0.0.0,,,18-03-2024 10:12:03,18-03-2024 10:12:03,0.002s,PASSED
"for ([i = 1, i <= Data.getRowNumbers(), (i++)])",Chrome 122.0.0.0,,,18-03-2024 10:12:03,18-03-2024 10:14:56,2m - 52.668s,PASSED
