Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Apply WFH and Checkin,Chrome 122.0.0.0,,,23-03-2024 14:46:28,23-03-2024 14:48:32,2m - 3.548s,PASSED
,,,,,,,
Test Cases/Apply WFH and Checkin,Chrome 122.0.0.0,,,23-03-2024 14:46:28,23-03-2024 14:48:32,2m - 3.390s,PASSED
"Data = findTestData(""Apply WFH and Checkin"")",Chrome 122.0.0.0,,,23-03-2024 14:46:29,23-03-2024 14:46:29,0.369s,PASSED
dateFormat = new java.text.SimpleDateFormat(MM/dd/yyyy),Chrome 122.0.0.0,,,23-03-2024 14:46:29,23-03-2024 14:46:29,0.013s,PASSED
currentDate = getInstance().getTime(),Chrome 122.0.0.0,,,23-03-2024 14:46:29,23-03-2024 14:46:29,0.016s,PASSED
currentDateStr = dateFormat.format(currentDate),Chrome 122.0.0.0,,,23-03-2024 14:46:29,23-03-2024 14:46:29,0.002s,PASSED
"for ([i = 1, i <= Data.getRowNumbers(), (i++)])",Chrome 122.0.0.0,,,23-03-2024 14:46:29,23-03-2024 14:48:32,2m - 2.582s,PASSED
