Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login and Checkout,Chrome 122.0.0.0,,,13-03-2024 18:11:59,13-03-2024 18:17:53,5m - 53.179s,FAILED
,,,,,,,
Test Cases/Checkout and do Logout,Chrome 122.0.0.0,,,13-03-2024 18:12:00,13-03-2024 18:17:53,5m - 52.984s,FAILED
"Data = findTestData(""Checkout and do logout"")",Chrome 122.0.0.0,,,13-03-2024 18:12:00,13-03-2024 18:12:01,0.492s,PASSED
dateFormat = new java.text.SimpleDateFormat(MM/dd/yyyy),Chrome 122.0.0.0,,,13-03-2024 18:12:01,13-03-2024 18:12:01,0.017s,PASSED
currentDate = getInstance().getTime(),Chrome 122.0.0.0,,,13-03-2024 18:12:01,13-03-2024 18:12:01,0.018s,PASSED
currentDateStr = dateFormat.format(currentDate),Chrome 122.0.0.0,,,13-03-2024 18:12:01,13-03-2024 18:12:01,0.007s,PASSED
"for ([i = 1, i <= Data.getRowNumbers(), (i++)])",Chrome 122.0.0.0,,,13-03-2024 18:12:01,13-03-2024 18:17:53,5m - 51.908s,FAILED
