Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login and Checkin,Chrome 122.0.0.0,,,18-03-2024 14:13:46,18-03-2024 14:19:55,6m - 8.398s,PASSED
,,,,,,,
Test Cases/Login and do checkin,Chrome 122.0.0.0,,,18-03-2024 14:13:46,18-03-2024 14:19:55,6m - 8.230s,PASSED
"Data = findTestData(""Login and Checkin"")",Chrome 122.0.0.0,,,18-03-2024 14:13:47,18-03-2024 14:13:47,0.475s,PASSED
dateFormat = new java.text.SimpleDateFormat(MM/dd/yyyy),Chrome 122.0.0.0,,,18-03-2024 14:13:47,18-03-2024 14:13:47,0.018s,PASSED
currentDate = getInstance().getTime(),Chrome 122.0.0.0,,,18-03-2024 14:13:47,18-03-2024 14:13:47,0.015s,PASSED
currentDateStr = dateFormat.format(currentDate),Chrome 122.0.0.0,,,18-03-2024 14:13:47,18-03-2024 14:13:47,0.003s,PASSED
"for ([i = 1, i <= Data.getRowNumbers(), (i++)])",Chrome 122.0.0.0,,,18-03-2024 14:13:47,18-03-2024 14:19:55,6m - 7.278s,PASSED
