Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Apply WFH and Checkin,Chrome 122.0.0.0,,,15-03-2024 09:55:18,15-03-2024 09:57:35,2m - 16.957s,PASSED
,,,,,,,
Test Cases/Apply WFH and Checkin,Chrome 122.0.0.0,,,15-03-2024 09:55:18,15-03-2024 09:57:35,2m - 16.821s,PASSED
"Data = findTestData(""Apply WFH and Checkin"")",Chrome 122.0.0.0,,,15-03-2024 09:55:19,15-03-2024 09:55:19,0.370s,PASSED
dateFormat = new java.text.SimpleDateFormat(MM/dd/yyyy),Chrome 122.0.0.0,,,15-03-2024 09:55:19,15-03-2024 09:55:19,0.010s,PASSED
currentDate = getInstance().getTime(),Chrome 122.0.0.0,,,15-03-2024 09:55:19,15-03-2024 09:55:19,0.017s,PASSED
currentDateStr = dateFormat.format(currentDate),Chrome 122.0.0.0,,,15-03-2024 09:55:19,15-03-2024 09:55:19,0.002s,PASSED
"for ([i = 1, i <= Data.getRowNumbers(), (i++)])",Chrome 122.0.0.0,,,15-03-2024 09:55:19,15-03-2024 09:57:35,2m - 16.023s,PASSED
