Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Apply OD and Checkin,Chrome 122.0.0.0,,,19-03-2024 10:13:23,19-03-2024 10:19:15,5m - 52.110s,FAILED
,,,,,,,
Test Cases/Apply OD and Checkin,Chrome 122.0.0.0,,,19-03-2024 10:13:23,19-03-2024 10:19:15,5m - 51.962s,FAILED
"Data = findTestData(""Apply OD and Checkin"")",Chrome 122.0.0.0,,,19-03-2024 10:13:23,19-03-2024 10:13:24,0.398s,PASSED
dateFormat = new java.text.SimpleDateFormat(MM/dd/yyyy),Chrome 122.0.0.0,,,19-03-2024 10:13:24,19-03-2024 10:13:24,0.012s,PASSED
currentDate = getInstance().getTime(),Chrome 122.0.0.0,,,19-03-2024 10:13:24,19-03-2024 10:13:24,0.011s,PASSED
currentDateStr = dateFormat.format(currentDate),Chrome 122.0.0.0,,,19-03-2024 10:13:24,19-03-2024 10:13:24,0.003s,PASSED
"for ([i = 1, i <= Data.getRowNumbers(), (i++)])",Chrome 122.0.0.0,,,19-03-2024 10:13:24,19-03-2024 10:19:15,5m - 51.113s,FAILED
