Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login and Checkout,Chrome 122.0.0.0,,,20-03-2024 18:03:11,20-03-2024 18:06:45,3m - 34.121s,PASSED
,,,,,,,
Test Cases/Checkout and do Logout,Chrome 122.0.0.0,,,20-03-2024 18:03:11,20-03-2024 18:06:45,3m - 33.952s,PASSED
"Data = findTestData(""Checkout and do logout"")",Chrome 122.0.0.0,,,20-03-2024 18:03:11,20-03-2024 18:03:12,0.550s,PASSED
dateFormat = new java.text.SimpleDateFormat(MM/dd/yyyy),Chrome 122.0.0.0,,,20-03-2024 18:03:12,20-03-2024 18:03:12,0.008s,PASSED
currentDate = getInstance().getTime(),Chrome 122.0.0.0,,,20-03-2024 18:03:12,20-03-2024 18:03:12,0.012s,PASSED
currentDateStr = dateFormat.format(currentDate),Chrome 122.0.0.0,,,20-03-2024 18:03:12,20-03-2024 18:03:12,0.002s,PASSED
"for ([i = 1, i <= Data.getRowNumbers(), (i++)])",Chrome 122.0.0.0,,,20-03-2024 18:03:12,20-03-2024 18:06:45,3m - 32.982s,PASSED
