Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login and Checkin,Chrome 122.0.0.0,,,25-03-2024 09:58:25,25-03-2024 10:02:26,4m - 0.999s,PASSED
,,,,,,,
Test Cases/Login and do checkin,Chrome 122.0.0.0,,,25-03-2024 09:58:25,25-03-2024 10:02:26,4m - 0.833s,PASSED
"Data = findTestData(""Login and Checkin"")",Chrome 122.0.0.0,,,25-03-2024 09:58:25,25-03-2024 09:58:26,0.496s,PASSED
dateFormat = new java.text.SimpleDateFormat(MM/dd/yyyy),Chrome 122.0.0.0,,,25-03-2024 09:58:26,25-03-2024 09:58:26,0.018s,PASSED
currentDate = getInstance().getTime(),Chrome 122.0.0.0,,,25-03-2024 09:58:26,25-03-2024 09:58:26,0.012s,PASSED
currentDateStr = dateFormat.format(currentDate),Chrome 122.0.0.0,,,25-03-2024 09:58:26,25-03-2024 09:58:26,0.002s,PASSED
"for ([i = 1, i <= Data.getRowNumbers(), (i++)])",Chrome 122.0.0.0,,,25-03-2024 09:58:26,25-03-2024 10:02:26,3m - 59.829s,PASSED
