Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Apply OD and Checkin,Chrome 122.0.0.0,,,19-03-2024 16:22:37,19-03-2024 16:27:53,5m - 15.821s,FAILED
,,,,,,,
Test Cases/Apply OD and Checkin,Chrome 122.0.0.0,,,19-03-2024 16:22:37,19-03-2024 16:27:53,5m - 15.642s,FAILED
"Data = findTestData(""Apply OD and Checkin"")",Chrome 122.0.0.0,,,19-03-2024 16:22:38,19-03-2024 16:22:38,0.503s,PASSED
dateFormat = new java.text.SimpleDateFormat(MM/dd/yyyy),Chrome 122.0.0.0,,,19-03-2024 16:22:38,19-03-2024 16:22:38,0.019s,PASSED
currentDate = getInstance().getTime(),Chrome 122.0.0.0,,,19-03-2024 16:22:38,19-03-2024 16:22:38,0.014s,PASSED
currentDateStr = dateFormat.format(currentDate),Chrome 122.0.0.0,,,19-03-2024 16:22:38,19-03-2024 16:22:38,0.003s,PASSED
"for ([i = 1, i <= Data.getRowNumbers(), (i++)])",Chrome 122.0.0.0,,,19-03-2024 16:22:38,19-03-2024 16:27:53,5m - 14.614s,FAILED
